startTime,date,count,over,cTime,gTime,bTime,coffee,endTime,notes,,
9:24 AM,11/3/2020,173,43,1:57,1:49,2:58,stovetop sakicha (ethiopia),9:37 AM,,,
8:46 AM,11/4/2020,173,14,1:54,1:40,3:00,stovetop sakicha (ethiopia),8:57 AM,,,
8:37 AM,11/5/2020,173,-2,2:01,1:53,3:04,stovetop sakicha (ethiopia),8:50 AM,,,
7:44 AM,11/6/2020,173,48,1:45,1:47,3:35,stovetop sakicha (ethiopia),7:57 AM,,,
9:38 AM,11/7/2020,173,21,2:02,1:41,3:30,stovetop sakicha (ethiopia),9:50 AM,double pour,,
10:26 AM,11/8/2020,173,60,1:38,1:40,3:03,stovetop sakicha (ethiopia),10:40 AM,,,
9:35 AM,11/10/2020,173,52,1:51,1:40,3:06,stovetop sakicha (ethiopia),9:50 AM,,,
7:44 AM,11/11/2020,173,32,1:59,1:32,3:01,stovetop sakicha (ethiopia),7:57 AM,,,
9:22 AM,11/13/2020,173,23,2:04,1:58,2:42,stovetop buesaco (Colombia),9:35 AM,,,
9:37 AM,11/13/2020,173,30,1:52,1:45,2:55,stovetop buesaco (Colombia),9:52 AM,,,
10:16 AM,11/14/2020,173,25,2:34,1:28,2:03,stovetop buesaco (Colombia),10:31 AM,,,
11:27 AM,11/14/2020,180,33,?,1:38,2:11,stovetop buesaco (Colombia),11:37 AM,,,
8:40 AM,11/15/2020,173,49,1:41,1:46,3:14,stovetop buesaco (Colombia),8:52 AM,,,
7:52 AM,11/16/2020,173,-4,1:55,1:51,2:19,stovetop buesaco (Colombia),8:04 AM,,,
8:55 AM,11/19/2020,173,9,1:42,1:36,2:45,stovetop buesaco (Colombia),9:06 AM,,,
7:12 AM,11/20/2020,173,35,1:37,1:48,2:31,stovetop buesaco (Colombia),9:22 AM,,,
10:35 AM,11/22/2020,173,83,1:50,1:51,3:00,stovetop buesaco (Colombia),10:47 AM,,,
9:05 AM,11/23/2020,173,?,2:03,1:46,2:25,stovetop buesaco (Colombia),9:19 AM,,,
3:16 PM,11/24/2020,173,-7,1:59,1:41,3:00,stovetop buesaco (Colombia),3:28 PM,,,
7:44 AM,11/25/2020,173,22,2:17,1:58,2:36,mix,7:57 AM,double pour,,
